id,name,screen_name,location,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,default_profile,default_profile_image,description,verified,bot
1502026416,TASUKU HAYAKAWA,0918Bask,Tokyo .Japan .,2177,208,332,265,1,Tue Jun 11 11:20:35 2013,,ja,FALSE,FALSE,15years ago X.Lines24,FALSE,0
2492782375,ro_or,1120Roll,ç¥žå¥ˆå·çœŒæ¨ªæµœå¸‚,2660,330,485,3972,5,Tue May 13 10:37:57 2014,,ja,TRUE,FALSE,ä¿å®ˆè¦‹ç¿’ã„åœ°å…ƒå¤§å¥½ãäººé–“ã€‚ çµŒæ¸ˆå­¦ã€é›»å·¥ã€ä»æ•™ã‚’å‹‰å¼·ä¸­ã€ã¡ãªDeã§ã¯ã„ã‹ã‚“ã®ã‹ï¼Ÿ (*^â—¯^*),FALSE,0
293212315,bearclaw,14KBBrown,,1254,166,177,1185,0,Wed May 04 23:30:37 2011,,en,FALSE,FALSE,Let me see what your best move is!,FALSE,0
191839658,pocahontas farida,wadespeters,#freePalestine - rip paul,202968,2248,981,60304,101,Fri Sep 17 14:02:10 2010,http://t.co/rGV0HIJGsu,en,FALSE,FALSE,20. menna: #farida #nyc and the 80s actually you | Dragana,FALSE,0
3020965143,Ms Kathy,191a5bd05da04dc,Wichita KS,82,21,79,5,0,Fri Feb 06 04:10:49 2015,,en,TRUE,FALSE,Cosmetologist,FALSE,0
2157382005,JO,19_Joanne_87,,12915,641,1066,1568,7,Mon Oct 28 16:08:18 2013,,en,FALSE,FALSE,CHRISTIAN -Communication degree -graphic designer- makeup artist-pianist- FANGIRL: #Castle #EDBWK2MnNAA #AgentsOfShield #ESDLC #ChasingLife #SavingHope,FALSE,0
1947320929,â„McKaylaâ„,1Dniallprincess,Alaska XD,13676,1042,2000,19012,7,Tue Oct 08 15:59:30 2013,,en,TRUE,FALSE,"Live, Young, Wild and Free #crazymofo",FALSE,0
255846106,Giselle,1GisellePizarro,"Antofagasta, Chile",61294,561,118,590,4,Tue Feb 22 04:37:34 2011,https://t.co/v4qQQ0XDjd,es,FALSE,FALSE,Hey what's up guys? This is Giselle. I'm 21. College student and FanFiction writer all in one. :) #Rusher #Maslover and more. KENLOS/4 (07/22 and 11/11),FALSE,0
1733095801,Nicole Romany,1Nicoleromany,,4854,337,256,1407,4,Thu Sep 05 20:52:02 2013,,en,TRUE,FALSE,,FALSE,0
1336097480,Fallen Angel,1_DErika,,2408,421,338,2227,5,Mon Apr 08 08:37:42 2013,,en,TRUE,FALSE,I am not a perfect angel that you think you see. #Directioner #KatyCat #Mixer,FALSE,0
380322177,Caroline Bell,29PurpleDragons,"Apia, Samoa",24581,335,276,10570,4,Mon Sep 26 13:13:48 2011,http://t.co/5fwG7nFWT2,en,FALSE,FALSE,John 5: 28-29,FALSE,0
32988810,2C Development Group,2cdevelopment,Midwest USA,2132,232,225,101,56,Sat Apr 18 19:46:36 2009,http://t.co/QXPljvtYS2,en,FALSE,FALSE,"The 2C Digital Agency is determined to make a business in your city successful. Our only question is, will it be yours?",FALSE,0
21959183,Randee Deason,2hip4tv,"Bay Area, Ca.",10354,1948,2096,3,88,Thu Feb 26 02:33:21 2009,http://t.co/mtQ3mK85p6,en,FALSE,FALSE,KTVU Photojournalist looking for the scoop.  News is in the eye of the beholder.  I hope you like what you see here on my twitter.,FALSE,0
1553611423,Patricia â¤,3shaa_,,18484,271,216,8487,0,Fri Jun 28 17:14:55 2013,http://t.co/aACbecpPJ2,en,FALSE,FALSE,"Jeddy, coffee & cheese",FALSE,0
348080571,Daniel G,510Daniel,"Bay Area, California",88,16,74,397,0,Wed Aug 03 21:05:06 2011,,en,FALSE,FALSE,Oakland born and raised!! SJSU Graduate #ServingAndProtecting My 510 ....Interesting Random Fact: I enjoy meteorology and science!!,FALSE,0
839690880,51Talk,51TalkPH,,2418,1190,355,1092,11,Sat Sep 22 12:50:00 2012,http://t.co/dPP6R93qeK,en,FALSE,FALSE,Teach English Online. Home-Based or Office-Based.,FALSE,0
143687056,Adrenalin Trip,unionsummer,New Zealand,10839,7842,7836,8329,34,Fri May 14 04:08:41 2010,http://t.co/oW7ecOTnE8,en,FALSE,FALSE,"0/4 of UJ & 3/4 + band of 5SOS. I'm apart of the #5SOSfam, #JCat, & many other fandoms. Cam Mansel is bae. ily all!",FALSE,0
2291421004,teigan///inactive rn,5secondsofujx,UK/Cyprus,4774,552,787,4029,11,Sun Jan 19 10:38:59 2014,,en-gb,TRUE,FALSE,maltesers before hoes,FALSE,0
2337494094,x5SOS Imaginesx,imxgine5sxs,,36,223,166,864,2,Tue Feb 11 01:00:08 2014,,en,FALSE,FALSE,5SOS funny imagines and real shit imagines that'll make you cry (from laughter and other feels),FALSE,0
225241810,Tiffany Bailey,777starr,My mind.,9412,303,325,7304,2,Sat Dec 11 02:33:14 2010,http://t.co/TmZs4W4ZuC,en,FALSE,FALSE,B E A U T I F U L  S O U L                             Snapchat & IG: @tenisestarr,FALSE,0
375114767,ë°•ë´„ Bombshell2ne1,7820blackrose,,55052,1978,197,7274,7,Sat Sep 17 14:42:39 2011,,en,TRUE,FALSE,"I didn't tweet to please others. I am who I am, this is me, take it or leave it.",FALSE,0
52929021,Unruly Zario ,868RudeBoi,Trinidad â™¡,69809,1605,969,12583,2,Thu Jul 02 01:48:26 2009,,en,FALSE,FALSE,"I hustle for my last name, not my first!",FALSE,0
1657000316,Sue â™¡,918Susie,jenks ,7207,212,150,1877,0,Fri Aug 09 05:43:10 2013,,en,TRUE,FALSE,,FALSE,0
325967359,à¤®à¥‹à¤—à¥‚ (à¤›à¥‹à¤Ÿà¤¾ à¤¡à¥‰à¤¨) ,9_t_8,à¤¬à¥œà¤¹à¤¿à¤¯à¤¾/Kolkata,16677,1206,49,7008,6,Wed Jun 29 04:44:21 2011,http://t.co/qzaZgQOmrQ,en,TRUE,FALSE,"Jack of all trades, Master of none.In CA by choice.#à¤®à¥ˆà¤‚_à¤­à¥€_à¤¶à¤¾à¤¯à¤°",FALSE,0
