has_location,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,has_url,lang,default_profile,default_profile_image,verified,has_description,bot
TRUE,2177,208,332,265,1,11:00:00 AM,FALSE,ja,FALSE,FALSE,FALSE,TRUE,NO
TRUE,2660,330,485,3972,5,10:00:00 AM,FALSE,ja,TRUE,FALSE,FALSE,TRUE,NO
FALSE,1254,166,177,1185,0,11:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,202968,2248,981,60304,101,2:00:00 PM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,82,21,79,5,0,4:00:00 AM,FALSE,en,TRUE,FALSE,FALSE,TRUE,NO
FALSE,12915,641,1066,1568,7,4:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,13676,1042,2000,19012,7,3:00:00 PM,FALSE,en,TRUE,FALSE,FALSE,TRUE,NO
TRUE,61294,561,118,590,4,4:00:00 AM,TRUE,es,FALSE,FALSE,FALSE,TRUE,NO
FALSE,4854,337,256,1407,4,8:00:00 PM,FALSE,en,TRUE,FALSE,FALSE,FALSE,NO
FALSE,2408,421,338,2227,5,8:00:00 AM,FALSE,en,TRUE,FALSE,FALSE,TRUE,NO
TRUE,24581,335,276,10570,4,1:00:00 PM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,2132,232,225,101,56,7:00:00 PM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,10354,1948,2096,3,88,2:00:00 AM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
FALSE,18484,271,216,8487,0,5:00:00 PM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,88,16,74,397,0,9:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
FALSE,2418,1190,355,1092,11,12:00:00 PM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,10839,7842,7836,8329,34,4:00:00 AM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,4774,552,787,4029,11,10:00:00 AM,FALSE,en-gb,TRUE,FALSE,FALSE,TRUE,NO
FALSE,36,223,166,864,2,1:00:00 AM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,9412,303,325,7304,2,2:00:00 AM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
FALSE,55052,1978,197,7274,7,2:00:00 PM,FALSE,en,TRUE,FALSE,FALSE,TRUE,NO
TRUE,69809,1605,969,12583,2,1:00:00 AM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,7207,212,150,1877,0,5:00:00 AM,FALSE,en,TRUE,FALSE,FALSE,FALSE,NO
TRUE,16677,1206,49,7008,6,4:00:00 AM,TRUE,en,TRUE,FALSE,FALSE,TRUE,NO
FALSE,24163,435,320,676,1,7:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,45750,7644,359,54926,46,3:00:00 AM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,1203,182,117,136,0,7:00:00 AM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
FALSE,274989,9815,2190,40114,38,6:00:00 AM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,11334,349,348,2465,4,9:00:00 PM,FALSE,es,FALSE,FALSE,FALSE,TRUE,NO
TRUE,72102,726,28,165,23,11:00:00 PM,TRUE,es,FALSE,FALSE,FALSE,TRUE,NO
TRUE,15525,879,667,153,5,12:00:00 AM,TRUE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,31248,3205,2377,3650,282,11:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,TRUE,NO
TRUE,105025,543,327,49956,1,4:00:00 PM,FALSE,en,FALSE,FALSE,FALSE,FALSE,NO
FALSE,54,10,91,14,0,12:00:00 AM,FALSE,en,TRUE,FALSE,FALSE,FALSE,NO
FALSE,371,90,147,363,0,12:00:00 AM,FALSE,en,TRUE,FALSE,FALSE,TRUE,NO
FALSE,2582,223,495,1668,3,12:00:00 AM,FALSE,es,TRUE,FALSE,FALSE,FALSE,NO
